Category;SubCategory;ArticleNumber;ArticleName;ArticleDescription;Colour;ArticleURL;ImageURL;OldPrice;NewPrice;Quantity
Eddie Bauer;Schuhe;101159;Da. Schnuerschuh Nubuk;Dieser bequeme Schuh aus Nubukleder besticht durch schlichte Details wie Zehn Loch Schnürung und kontrastfarbene Ziernähte (nur bei Farbe Braun). Mit Textilfutter und Innensohle aus Leder. Profilierte und besonders flexible Synthetiklaufsohle.100% Leder;bordeaux;http://www.corso.de/products/101159~Da-Schnuerschuh-Nubuk.html;http://www.corso.de/images/generated/media/b5279b86e0601b3c12c1711861d383f.jpg;128,73000;17,15000;1
Eddie Bauer;Schuhe;139408;Da. Leder Pumps;Schöner Leder Pumps in Antik Optik mit matter Schliesse in Silber. Das Gummiband unter der Schliesse sorgt für einen perfekten Sitz. Mit Lederfutter und Synthetiklaufsohle. Trichterabsatz in Holz Optik.100% Leder;taupe;http://www.corso.de/products/139408~Da-Leder-Pumps.html;http://www.corso.de/images/generated/media/1d94ca76fd5cae29bf618c873774d592.jpg;114,73000;15,55000;1
Eddie Bauer;Herrenmode;156159;He. Leichte Chino Hose;Lässiger Chino Look in einem besonders leichten und griffigen Baumwoll Twill, der auch bei steigenden Temperaturen kühl und bequem bleibt. Mit zwei verstärkten, schrägen Eingrifftaschen vorn und knöpfbaren Pattentaschen hinten.100% CO;grau 32;http://www.corso.de/products/156159%7C13099DED00000grau032105~He-Leichte-Chino-Hose.html;http://www.corso.de/images/generated/media/5384b5a65c82a56f77979a8b57d5b.jpg;86,73000;12,36000;1
Eddie Bauer;Herrenmode;134650;He. Ka Polo;Aus hochwertiger, gekämmter Baumwolle in PiquÃ© Struktur. Hinten ein wenig länger. Mit Seitenschlitzen und sportivem Kragen mit kurzer Knopfleiste. Kragen und Ärmelbündchen aus Rippenware.100% CO;grau;http://www.corso.de/products/134650~He-Ka-Polo.html;http://www.corso.de/images/generated/media/aa2ca47c449946cf39da4313dbeb2a3.jpg;37,73000;6,78000;1
Eddie Bauer;Herrenmode;156809;He. Cargohose gefuette;Diese Hose vereint robusten Baumwoll Twill mit wärmendem Flanellfutter aus angerauter Baumwolle im typischen Schottenkaromuster. Vorn mit Eingrifftaschen, hinten Klapptaschen, Cargotaschen am Bein. Vorgewaschen für den unverwechselbaren Look und ein angenehmes Tragegefühl.Obermaterial und Futter: 100% Baumwolle.;sand 32;http://www.corso.de/products/156809~He-Cargohose-gefuette.html;http://www.corso.de/images/generated/media/24304bc14eda6e388798d49f3b69831.jpg;114,73000;15,55000;1
Eddie Bauer;Herrenmode;172757;He. LA Slub Polo;Das Pique Polo mit bequemer Rückenpasse hat Krempelärmel mit Manschetten und zwei geknöpfte Klappentaschen. Die Knopfleiste ist mit einem Webbesatz versehen, am leicht gerundeten Saum hat das Polo zusätzlich seitliche Zierverstärkungen. Durch die Pique Slubware ensteht eine attraktive Oberflächenstruktur.99% Cotton, 1% Elasthan.;gruen;http://www.corso.de/products/172757~He-LA-Slub-Polo.html;http://www.corso.de/images/generated/media/aec46895abf8c39ff9cb1afa3394581.jpg;58,73000;9,18000;1
Eddie Bauer;Herrenmode;173206;He. Bootcut Jeans;Jede einzelne Jeans aus robustem Ring Denim erhält bei uns von Hand eine Sandwaschung und wird dadurch zum Einzelstück, keine zwei Hosen sehen in ihrer Waschung genau gleich aus. Klassischer Five Pocket Stil mit verstärkten Eingrifftaschen vorn.100% CO;dk wash 34;http://www.corso.de/products/173206~He-Bootcut-Jeans.html;http://www.corso.de/images/generated/media/242c748387f7dacb4d521d50ed239cce.jpg;86,73000;12,36000;1
Eddie Bauer;Herrenmode;173320;He. Relaxed Fit Jeans;Diese Jeans aus robustem Ring Denim erhält bei uns von Hand eine Sandwaschung und wird dadurch zum Einzelstück, keine zwei Hosen sehen in ihrer Waschung genau gleich aus. Klassischer Five Pocket Stil mit verstärkten Eingrifftaschen vorn.100% CO;lt wash 34;http://www.corso.de/products/173320~He-Relaxed-Fit-Jeans.html;http://www.corso.de/images/generated/media/8f9a5acfcdb4b4ded463aac899cfe8.jpg;86,73000;12,36000;1
Eddie Bauer;Herrenmode;185490;He. Cargohose;Der perfekte Begleiter für Ihre Outdooraktivitäten. Unsere Cargohose ist aus erstaunlich weichem, vorgewaschenen Baumwoll Twill. Die extragrossen Cargotaschen haben wir etwas höher am Bein angesetzt, damit Sie schnell und bequem an alles herankommen.100% CO;beige 32;http://www.corso.de/products/185490~He-Cargohose.html;http://www.corso.de/images/generated/media/513c24785769dcb22354fc89bed61.jpg;100,73000;13,96000;1
Eddie Bauer;Herrenmode;186261;He. Cargohose Futter;Diese Cargohose überzeugt nicht nur durch die besondere Karo Optik. Das kontrastfarbene Jerseyfutter sorgt für zusätzliche Wärme an kalten Wintertagen.100% Cotton;braun/grau34;http://www.corso.de/products/186261~He-Cargohose-Futter.html;http://www.corso.de/images/generated/media/b05c25cc7025d89b35d4a8c3c5e2bc3.jpg;128,73000;17,15000;1
