ArticleNumber;Size;Quantity
101159;36;1
139408;41;1
139408;42;1
156159;35;1
134650;S;1
156809;30;1
172757;S;1
173206;30;1
173206;31;1
173320;30;1
173320;31;1
185490;30;1
186261;32;1
186261;35;1
186261;38;1
143730;Stuck;1
108869;;1
120675;S;1
121506;M;1
121764;S;1
136743;XS;1
151455;XS;1
160309;XS;1
188186;XS;1
192452;S;1
192674;XS;1
199183;M;1
167866;XS;1
167866;S;1
129248;S;1
133456;M;1
141002;S;1
141002;M;1
146338;XS;1
146338;S;1
160009;XS;1
169017;XS;1
178516;M;1
188290;S;1
147685;S;1
150077;XS;1
151273;XS;1
161920;S;1
161920;M;1
168659;XS;1
168659;S;1
179903;XS;1
179903;L;1
180287;XS;1
184514;XS;1
184514;S;1
192714;S;1
108360;S;1
111637;XL;1
125519;M;1
136937;L;1
145316;14;1
145316;16;1
156717;S;1
165744;S;1
178147;8;1
185658;M;1
101655;XS;1
101655;S;1
101655;M;1
120418;4;1
120418;6;1
131508;S;1
131508;M;1
153155;XS;1
153155;S;1
153427;XS;1
153427;S;1
169728;XS;1
169728;S;1
175959;S;1
175959;M;1
175959;L;1
177997;XS;1
177997;S;1
177997;M;1
177997;L;1
189830;S;1
113140;S;1
113140;M;1
122795;XL;1
122912;M;1
730868;34;1
730868;36;1
730868;38;1
681795;32/34;1
123789;4;1
123789;8;1
446119;32;1
500954;18;1
126487;S;1
126487;M;1
684412;32;1
684412;34;1
684412;36;1
684412;38;1
684412;40;1
684412;42;1
684412;44;1
749345;34;1
749345;36;1
749345;38;1
749345;44;1
127284;XS;1
448565;17;1
448565;18;1
448565;19;1
448565;20;1
448565;21;1
448565;72;1
448565;80;1
127751;XL;1
127775;4;1
127775;6;1
137895;XL;1
137895;XXL;1
143215;L;1
143215;XL;1
163471;S;1
163471;M;1
184064;S;1
193160;M;1
193644;XS;1
193644;L;1
193745;M;1
100017;XS;1
103682;14;1
103682;18;1
111546;S;1
111546;M;1
111757;XS;1
117239;S;1
120543;XS;1
125651;S;1
150309;M;1
150309;L;1
156765;S;1
194419;S;1
194419;M;1
197739;XL;1
123625;XS;1
123625;S;1
123815;S;1
123815;M;1
124728;XL;1
126358;S;1
126358;M;1
129828;XS;1
129828;S;1
141094;XS;1
141094;S;1
141094;M;1
141094;L;1
147061;XS;1
147061;S;1
156974;S;1
156974;M;1
158421;S;1
162010;S;1
162010;M;1
163421;XS;1
163421;S;1
165101;S;1
168548;XS;1
168548;S;1
168571;S;1
169347;S;1
170109;S;1
171327;XS;1
171327;S;1
178054;XS;1
178054;S;1
178291;S;1
178478;XS;1
178478;S;1
184318;S;1
184318;M;1
185418;S;1
185418;M;1
188627;XS;1
188627;S;1
191559;S;1
191559;M;1
192209;L;1
192209;XL;1
198764;S;1
198764;M;1
199325;S;1
199325;M;1
101200;S;1
109794;XS;1
111059;S;1
111059;M;1
111166;XS;1
111166;S;1
114578;XS;1
114578;S;1
114578;M;1
115665;S;1
115665;M;1
116310;S;1
116323;S;1
117842;XS;1
117842;S;1
119277;S;1
120523;S;1
120818;S;1
133126;XS;1
133126;S;1
138642;S;1
148710;XS;1
148710;M;1
153311;XS;1
157065;S;1
167502;L;1
168984;XS;1
168984;S;1
170675;S;1
179476;XS;1
191160;S;1
192377;L;1
192377;XL;1
102083;XS;1
102083;M;1
110487;XS;1
111127;XS;1
111127;S;1
111138;XS;1
116001;XS;1
117640;XS;1
