Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
ShleYuli		H&M	500283	5,0000	Sneaker	18/19	Korall/Gemustert	1026_ShleYuli		1,0000
ShleYuli		H&M	446896	7,0000	SweatshirtausTeddyfleece	86	NaturweiB	1029_ShleYuli		1,0000
ShleYuli		H&M	523046	8,0000	Babybettwasche	110*125+35*55		1030_ShleYuli		1,0000
ShleYuli		H&M	434879	6,0000	Samtkleid	92	Schwarz	1031_ShleYuli		1,0000
ShleYuli		H&M	434968	9,0000	GefutterteStiefel	18/19	WeiB/Geblumt	1032_ShleYuli		1,0000
ShleYuli		H&M	434045	9,0000	Schneehose	80	Turkis	1033_ShleYuli		1,0000
ShleYuli		H&M	435835	5,0000	Schmusedecke	90*90	Leopardenmuster	1034_ShleYuli		1,0000
ShleYuli		H&M	425957	20,0000	WattierteFunktionsjacke	80	Turkis	1035_ShleYuli		1,0000
ShleYuli		H&M	514138	7,0000	Baby-Bettdetcke	110*125	WeiB	1036_ShleYuli		1,0000
ShleYuli		H&M	421455	7,0000	GefutterteStiefel	24/25	Gold	1037_ShleYuli		1,0000
ShleYuli		H&M	435234	5,0000	Babyschuhe	18/19	Hellgrau	1039_ShleYuli		1,0000
ShleYuli		H&M	433434	15,0000	Schneeanzug	80	Cerise	1041_ShleYuli		1,0000
ShleYuli		H&M	443401	7,0000	GardiganinMusterstrick	80	NaturweiB	1042_ShleYuli		1,0000
ShleYuli		H&M	425946	20,0000	WattierteFunktionsjacke	86	Cerise	1043_ShleYuli		1,0000
ShleYuli		H&M	448297	20,0000	WattierteFunktionsjacke	92	Blau/Sterne	1044_ShleYuli		1,0000
