Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
PetTat		OTTO	215528P	119,9900	MORE&MOREBlousonmitMinimuster-Struktur	36	marine	402_PetTat	https://www.otto.de/p/more-more-blouson-mit-minimuster-struktur-460212868/#variationId=460212873	1,0000
ZhanNad		H&M	469719	24,9900	Sneaker	37	Wei?	460_ZhanNad	http://www.hm.com/de/product/60438?article=60438-A#article=60438-A	1,0000
KunZar		H&M	412142	9,0000	7er-PackBaumwollhipster	36	Blau	461_KunZar	http://www.hm.com/de/product/07781?article=07781-D#article=07781-D	1,0000
EreGal		H&M	446413	25,0000	DufflecoatausWollmischung	134	Dunkelblau	462_EreGal	http://www.hm.com/de/product/31890?article=31890-A#article=31890-A	1,0000
ZhanNad		H&M	462676	19,9900	Cardigan	M/L	Naturwei?	464_ZhanNad	http://www.hm.com/de/product/60420?article=60420-B#article=60420-A	1,0000
EreGal		H&M	432984	5,0000	T-ShirtmitDruck	122/128	Dunkelblau	465_EreGal	http://www.hm.com/de/product/32517?article=32517-B#article=32517-B	1,0000
EreGal		H&M	436234	10,0000	GestreiftesKapuzenshirt	L	Dunkellila	466_EreGal	http://www.hm.com/de/product/26189?article=26189-A#article=26189-A	1,0000
EreGal		H&M	448315	12,0000	Strasskette	0	Silber	467_EreGal	http://www.hm.com/de/product/68699?article=68699-A#shopOrigin=SA	1,0000
EreGal		H&M	432367	10,0000	Pullover	L	Hellblau	468_EreGal	http://www.hm.com/de/product/36299?article=36299-B&variant=006#article=36299-B	1,0000
KunZar		H&M	457279	14,9900	2er-PackJerseyshirts	122/128	Lila/Frost	469_KunZar	http://www.hm.com/de/product/52791?article=52791-G&fromSearch=frozen&cm_vc=SEARCH	1,0000
KunZar		H&M	457279	14,9900	2er-PackJerseyshirts	122/128	Lila/Frost	470_KunZar	http://www.hm.com/de/product/52791?article=52791-G&fromSearch=frozen&cm_vc=SEARCH	1,0000
KunZar		H&M	457279	14,9900	2er-PackJerseyshirts	110/116	Lila/Frost	471_KunZar	http://www.hm.com/de/product/52791?article=52791-G&fromSearch=frozen&cm_vc=SEARCH	1,0000
KunZar		KIK24	173376005361	5,0000	Leggings-Madchen-Strickmuster	128	Schwarz	472_KunZar	http://www.kik.de/leggings-madchen-173376005361.html?q=leggings&kiket_area=Suche	1,0000
KunZar		H&M	506827	9,9900	Jerseypyjama	122/128	Hellrosa	473_KunZar	http://www.hm.com/de/product/27104?article=27104-D#article=27104-D	1,0000
BosDin		H&M	9767	5,0000	Divided,Jerseytop	XS	Schwarz	479_BosDin	http://www.hm.com/de/product/23282?article=23282-F&variant=003#article=23282-F	1,0000
BosDin		H&M	4328	15,0000	Yogashirt	S	Graumeliert	480_BosDin	http://www.hm.com/de/product/35976?article=35976-A&variant=004	1,0000
BosDin		H&M	2200	17,0000	EleganteSweathose	34	Schwarz	481_BosDin	http://www.hm.com/de/product/37065?article=37065-A&variant=034	1,0000
DanEle		H&M	501152	12,9900	Bikinihose	36	Orange	482_DanEle	http://www.hm.com/de/product/86402?article=86402-A#article=86402-A	1,0000
DanEle		H&M	501116	17,9900	Bikinitop	36	Orange	483_DanEle	http://www.hm.com/de/product/86398?article=86398-A#article=86398-A	1,0000
DanEle		H&M	488073	3,0000	Balconette-Bikinitop	75В	Dunkelblau	484_DanEle	http://www.hm.com/de/product/21883?article=21883-A#article=21883-E	1,0000
DanEle		H&M	488290	2,0000	Bikinihose	36	Dunkelblau	485_DanEle	http://www.hm.com/de/product/06042?article=06042-G#article=06042-I	1,0000
OmaAyg		H&M	534054	19,9900	Hose	34	Gemustert	492_OmaAyg	http://m.hm.com/de/product/37776?article=37776-I&variant=034	1,0000
OmaAyg		H&M	425149	10,0000	Sweathose	Xs	Hellgrau	493_OmaAyg	http://m.hm.com/de/product/60408?article=60408-A&variant=003	1,0000
OmaAyg		H&M	435998	6,0000	Sweathose	128	Blaumeliert	494_OmaAyg	http://m.hm.com/de/product/15968?article=15968-K&variant=128	1,0000
OmaAyg		H&M	438189	10,0000	Stiefel	25	Schwarz	495_OmaAyg	http://m.hm.com/de/product/15791?article=15791-F&variant=025	1,0000
TerSer		H&M	456257	14,9900	2er-PackJerseyshirts	122/128	Lila/Frost	496_TerSer	http://www.hm.com/de/product/52791?article=52791-G&cm_vc=PRA1#article=52791-G	1,0000
TerSer		KIK24	190882005361	5,0000	Leggings-Madchen-gerippt	128	Фиолетовый	497_TerSer	http://www.kik.de/leggings-madchen-190882005361.html?q=leggings&kiket_area=Suche	1,0000
TerSer		KIK24	190882005361	5,0000	Leggings-Madchen-gerippt	128	Черный	498_TerSer	http://www.kik.de/leggings-madchen-190882005361.html?q=leggings&kiket_area=Suche	1,0000
NurDin		DOUGLAS	771436	5,0000	Trockenshampoobatiste	1	pink	499_NurDin	https://www.douglas.de/douglas/viewBasket.html	1,0000
NurDin		DOUGLAS	771436	5,0000	Trockenshampoobatiste	1	pink	500_NurDin	https://www.douglas.de/douglas/viewBasket.html	1,0000
