Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL
OryAyg		ZARA	8345889	49,9500	langerunifarbenerrock	m	Schwartz	129_OryAyg	http://www.zara.com/de/de/neuware/damen/langer-unifarbener-rock-c287002p2440506.html
OryAyg		ZARA	5767707	39,9500	Mantelmitkastenkragen	9-10	enter blau	131_OryAyg	http://www.zara.com/de/de/kinder/m%C3%A4dchen-%283-14-jahre%29/shop-by-look/-c466007p2425508.html
OryAyg		ZARA	4190705	25,9500	Pullovermitrollkragenundrentier-jacquardmuster	9-10	Gebrochenes Wei?	132_OryAyg	http://www.zara.com/de/de/kinder/m%C3%A4dchen-%283-14-jahre%29/jacken-und-pullover/pullover-mit-rollkragen-und-rentier-jacquardmuster-c675506p2200039.html
OryAyg		ZARA	8085306	9,9500	Beuteltaschemitaufdruckundfederdekor		roze	133_OryAyg	http://www.zara.com/de/de/kinder/m%C3%A4dchen-%283-14-jahre%29/taschen/beuteltasche-mit-aufdruck-und-federdekor-c269263p2040544.html
OryAyg		ZARA	6350303	25,9500	Ballerinasmitschleifemittupfenmuster	31	Marine Blau	134_OryAyg	http://www.zara.com/de/de/kinder/m%C3%A4dchen-%283-14-jahre%29/schuhe/ballerinas-mit-schleife-mit-tupfenmuster-c269262p2025583.html
OryAyg		ZARA	6347723	19,9500	Madchenblusemituhu-print	7-8	rot	135_OryAyg	http://www.zara.com/de/de/kinder/m%C3%A4dchen-%283-14-jahre%29/blusen/m%C3%A4dchenbluse-mit-uhu-print-c269259p2362019.html
OryAyg		ZARA	5643794	10,9500	langarm-shirtmitballerinamittullrock	7-8	weib	136_OryAyg	http://www.zara.com/de/de/kinder/m%C3%A4dchen-%283-14-jahre%29/t-shirts/langarm-shirt-mit-ballerina-mit-t%C3%BCllrock-c269260p2387507.html
OryAyg		ZARA	5516718	27,9500	Blazermittaschen	9-10	Marine Blau	137_OryAyg	http://www.zara.com/de/de/neuware/m%C3%A4dchen/blazer-mit-taschen-c286502p2281504.html
NurDin		H&M	487969	9,9900	Ballerinas	24	черный	139_NurDin	http://www.hm.com/de/product/16783?article=16783-C
NurDin		H&M	535745	5,0000	Jerseyshirt	86	белый	140_NurDin	http://www.hm.com/de/product/24054?article=24054-A
